farmID	int_type	collection	test	log_conc
R39	post	4/19/2024	BAB_MPN	2.301029996
R39	post	4/21/2024	BAB_MPN	1.602059991
R39	post	4/23/2024	BAB_MPN	1.954242509
R39	post	4/25/2024	BAB_MPN	1.934498451
R39	pre	4/9/2024	BAB_MPN	2.755874856
R39	pre	4/11/2024	BAB_MPN	2.531478917
R39	pre	4/13/2024	BAB_MPN	2.755874856
R39	pre	4/15/2024	BAB_MPN	1.806179974
R35	pre	4/10/2024	PSC_MPN	1.698970004
R35	pre	4/12/2024	PSC_MPN	1.602059991
R35	pre	4/14/2024	PSC_MPN	1.903089987
R35	pre	4/16/2024	PSC_MPN	1.903089987
R35	post	4/18/2024	PSC_MPN	0.698970004
R35	post	4/20/2024	PSC_MPN	2.041392685
R35	post	4/22/2024	PSC_MPN	1.84509804
R35	post	4/24/2024	PSC_MPN	1.903089987
R37	pre	4/8/2024	PSC_MPN	1.301029996
R37	pre	4/10/2024	PSC_MPN	0.698970004
R37	pre	4/12/2024	PSC_MPN	1.698970004
R37	pre	4/14/2024	PSC_MPN	1.301029996
R37	post	4/18/2024	PSC_MPN	0.698970004
R37	post	4/20/2024	PSC_MPN	1.301029996
R37	post	4/22/2024	PSC_MPN	1.84509804
R37	post	4/24/2024	PSC_MPN	1.301029996
R38	pre	4/8/2024	PSC_MPN	0.698970004
R38	pre	4/10/2024	PSC_MPN	0.698970004
R38	pre	4/12/2024	PSC_MPN	0.698970004
R38	pre	4/14/2024	PSC_MPN	0.698970004
R38	post	4/18/2024	PSC_MPN	1.602059991
R38	post	4/20/2024	PSC_MPN	1.301029996
R38	post	4/22/2024	PSC_MPN	1.301029996
R38	post	4/24/2024	PSC_MPN	0.698970004
R39	pre	4/9/2024	PSC_MPN	1.301029996
R39	pre	4/11/2024	PSC_MPN	0.698970004
R39	pre	4/13/2024	PSC_MPN	1.903089987
R39	pre	4/15/2024	PSC_MPN	0.698970004
R39	post	4/19/2024	PSC_MPN	2.230448921
R39	post	4/21/2024	PSC_MPN	0.698970004
R39	post	4/23/2024	PSC_MPN	0.698970004
R39	post	4/25/2024	PSC_MPN	0.698970004

